Code,Area,Economically Inactive; Jan 2004-Dec 2004,Working age; Jan 2004-Dec 2004,percent; Jan 2004-Dec 2004,confidence; Jan 2004-Dec 2004,Economically Inactive; Jan 2005-Dec 2005,Working age; Jan 2005-Dec 2005,percent; Jan 2005-Dec 2005,confidence; Jan 2005-Dec 2005,Economically Inactive; Jan 2006-Dec 2006,Working age; Jan 2006-Dec 2006,percent; Jan 2006-Dec 2006,confidence; Jan 2006-Dec 2006,Economically Inactive; Jan 2007-Dec 2007,Working age; Jan 2007-Dec 2007,percent; Jan 2007-Dec 2007,confidence; Jan 2007-Dec 2007,Economically Inactive; Jan 2008-Dec 2008,Working age; Jan 2008-Dec 2008,percent; Jan 2008-Dec 2008,confidence; Jan 2008-Dec 2008,Economically Inactive; Jan 2009-Dec 2009,Working age; Jan 2009-Dec 2009,percent; Jan 2009-Dec 2009,confidence; Jan 2009-Dec 2009,Economically Inactive; Jan 2010-Dec 2010,Working age; Jan 2010-Dec 2010,percent; Jan 2010-Dec 2010,confidence; Jan 2010-Dec 2010,Economically Inactive; Jan 2011-Dec 2011,Working age; Jan 2011-Dec 2011,percent; Jan 2011-Dec 2011,confidence; Jan 2011-Dec 2011,Economically Inactive; Jan 2012-Dec 2012,Working age; Jan 2012-Dec 2012,percent; Jan 2012-Dec 2012,confidence; Jan 2012-Dec 2012,Economically Inactive; Jan 2013-Dec 2013,Working age; Jan 2013-Dec 2013,percent; Jan 2013-Dec 2013,confidence; Jan 2013-Dec 2013,Economically Inactive; Jan 2014-Dec 2014,Working age; Jan 2014-Dec 2014,percent; Jan 2014-Dec 2014,confidence; Jan 2014-Dec 2014,Economically Inactive; Jan 2015-Dec 2015,Working age; Jan 2015-Dec 2015,percent; Jan 2015-Dec 2015,confidence; Jan 2015-Dec 2015,Economically Inactive; Jan 2016-Dec 2016,Working age; Jan 2016-Dec 2016,percent; Jan 2016-Dec 2016,confidence; Jan 2016-Dec 2016,Economically Inactive; Jan 2017-Dec 2017,Working age; Jan 2017-Dec 2017,percent; Jan 2017-Dec 2017,confidence; Jan 2017-Dec 2017,Economically Inactive; Jan 2018-Dec 2018,Working age; Jan 2018-Dec 2018,percent; Jan 2018-Dec 2018,confidence; Jan 2018-Dec 2018,Economically Inactive; Jan 2019-Dec 2019,Working age; Jan 2019-Dec 2019,percent; Jan 2019-Dec 2019,confidence; Jan 2018-Dec 2018
E09000001,City of London,!,"4,800",!,!,"2,000","8,900",22.3,*,"1,600",4000,41,*,!,"3,400",!,!,!,"6,600",!,!,!,5500,!,!,!,5000,!,!,!,2100,!,!,!,2200,!,!,!,#,!,!,"1,900","2,900",64.8,*,"2,000",5600,36,*,!,"6,100",!,!,3900,"11,100",35,*,!,"7,500",!,!,!,"8,500",!,!
E09000002,Barking and Dagenham,"33,600","105,600",31.8,3.9,"32,600","105,000",31,3.8,"32,800","105,000",31,3.8,29300,"105,900",28,3.7,31800,"108,400",29,4,32000,110700,29,4,31800,115200,28,4,"34,000",119100,28.6,4,"33,400",120400,27.7,4,"30,700","121,600",25.3,3.6,"35,100","125,000",28.1,3.9,"33,400","128,300",26,3.7,36000,"131,100",28,3.7,32300,"130,600",25,3.7,37200,"135,700",27,4.1,35300,"137,200",25.7,4.3
E09000003,Barnet,"51,800","209,800",24.7,3.6,"54,900","214,700",25.6,4,"57,800","218,200",27,3.7,60300,"219,900",27,3.5,60600,"223,100",27,3,63900,227700,28,4,57500,231100,25,4,"57,900",234200,24.7,4,"61,600",238200,25.9,4,"56,000","240,000",23.3,3.8,"63,200","242,400",26.1,3.7,"60,300","244,000",25,3.7,69000,"250,600",28,4,57600,"249,700",23,3.7,61700,"254,600",24,3.9,56200,"259,200",21.7,4.1
E09000004,Bexley,"29,300","139,200",21,3.6,"28,900","140,600",20.5,3.5,"28,800","140,500",21,3.3,32300,"142,200",23,3.4,32200,"143,700",22,4,35500,146000,24,4,33600,146400,23,3,"33,900",146100,23.2,4,"31,200",147000,21.2,4,"29,500","146,300",20.2,3.8,"30,200","150,100",20.2,3.7,"28,500","152,400",19,3.6,28900,"156,500",19,3.5,33300,"156,200",21,3.5,33100,"156,900",21,3.6,32600,"156,900",20.8,3.6
E09000005,Brent,"54,600","181,100",30.1,3.6,"52,400","184,600",28.4,3.8,"54,500","186,600",29,4.1,47600,"193,300",25,3.9,47700,"199,300",24,3,50200,205500,24,4,64200,212500,30,4,"67,400",218900,30.8,4,"54,100",214800,25.2,3,"53,300","215,700",24.7,3.1,"57,000","214,700",26.5,3.1,"54,600","219,400",25,3.1,54100,"218,200",25,3.4,56200,"218,100",26,3.4,54400,"219,700",25,3.8,50800,"220,800",23,4.8
E09000006,Bromley,"36,400","187,700",19.4,3.2,"32,500","188,900",17.2,3.1,"39,300","191,500",21,3.4,32700,"192,300",17,3.1,37300,"194,200",19,3,39200,194000,20,4,45000,195500,23,4,"43,500",199100,21.9,4,"41,800",198200,21.1,3,"40,000","202,500",19.7,3.1,"41,800","202,700",20.6,3.2,"40,700","202,400",20,3.2,38600,"202,200",19,3.4,37000,"203,200",18,3.5,37700,"205,900",18,3.5,40100,"209,700",19.1,3.5
E09000007,Camden,"40,000","148,200",27,3.7,"46,000","151,400",30.4,4.1,"42,600","151,000",28,3.6,43100,"152,200",28,3.2,42600,"151,400",28,3,43800,153200,29,4,40500,153800,26,4,"51,800",157200,32.9,4,"46,600",158900,29.3,4,"51,300","163,500",31.4,3.8,"47,000","167,200",28.1,3.5,"48,400","173,300",28,3.9,46400,"173,000",27,3.9,50900,"176,100",29,4.1,44500,"182,500",24,4.1,47800,"185,600",25.8,4.3
E09000008,Croydon,"48,700","220,200",22.1,3.3,"45,700","221,100",20.7,3.1,"50,800","225,200",23,3.2,50200,"228,900",22,3.4,49900,"231,500",22,4,48100,235700,20,4,52900,238100,22,4,"58,900",239700,24.6,4,"46,900",239100,19.6,4,"47,200","241,400",19.5,3.3,"50,600","243,800",20.7,3.6,"52,600","246,800",21,3.4,44900,"245,500",18,3.2,48100,"245,700",20,3.2,52400,"251,100",21,3.6,52800,"251,600",21,3.5
E09000009,Ealing,"55,200","214,100",25.8,3.4,"58,500","215,700",27.1,3.4,"53,500","218,000",25,3.2,59900,"219,500",27,3.5,60300,"226,200",27,4,60000,227900,26,4,57100,227300,25,4,"55,100",228200,24.1,4,"55,300",230600,24,4,"58,700","229,000",25.6,3.6,"59,100","229,700",25.7,3.8,"51,200","226,700",23,3.3,47900,"224,700",21,3.5,46500,"226,300",21,3.9,48400,"226,400",21,4.5,52300,"221,300",23.6,4.7
E09000010,Enfield,"49,500","182,700",27.1,3.8,"47,500","182,900",25.9,3.9,"47,400","184,800",26,3.7,57500,"188,800",31,3.9,52100,"192,600",27,3,62700,195300,32,3,60800,197300,31,3,"53,300",203200,26.2,4,"57,600",204200,28.2,4,"55,900","205,700",27.2,3.7,"53,300","207,800",25.7,3.8,"51,400","210,600",24,3.7,53600,"211,800",25,3.9,57500,"216,700",27,4,57800,"216,200",27,4.2,62800,"219,000",28.7,4.7
